Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,
127,LP001443,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
128,LP001448,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y
129,LP001449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
130,LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
131,LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
132,LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
133,LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
134,LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
135,LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
136,LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
137,LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N
138,LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
139,LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
140,LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
141,LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
142,LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
143,LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
144,LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
145,LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
146,LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
147,LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
148,LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
149,LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
150,LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
151,LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
152,LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
153,LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
154,LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
155,LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
156,LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
157,LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
158,LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
159,LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
160,LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
161,LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
162,LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
163,LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
164,LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
165,LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
166,LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
167,LP001574,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
168,LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
169,LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
170,LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
171,LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
172,LP001581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
173,LP001585,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
174,LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
175,LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
176,LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
177,LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
178,LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
179,LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
